device_id,timestamp,heartbeat
watch2,1775122778891,80.0
watch2,1775122779922,80.0
watch2,1775122780038,79.0
watch2,1775122781051,80.0
watch2,1775122782994,80.0
watch2,1775122783060,79.0
watch2,1775122784082,80.0
watch2,1775122786102,80.0
watch2,1775122787101,79.0
watch2,1775122788183,79.0
watch2,1775122789197,79.0
watch2,1775122790222,79.0
watch2,1775122791255,79.0
watch2,1775122792123,80.0
watch2,1775122793285,80.0
watch2,1775122794199,81.0
watch2,1775122795130,82.0
watch2,1775122797377,82.0
watch2,1775122798159,83.0
watch2,1775122799163,82.0
watch2,1775122800449,82.0
watch2,1775122801490,82.0
watch2,1775122802171,81.0
watch2,1775122803193,80.0
watch2,1775122804546,80.0
watch2,1775122805573,80.0
watch2,1775122806601,80.0
watch2,1775122807642,80.0
watch2,1775122808218,81.0
watch2,1775122809670,81.0
watch2,1775122810728,81.0
watch2,1775122811765,81.0
watch2,1775122812790,81.0
watch2,1775122813245,82.0
watch2,1775122814819,82.0
watch2,1775122815862,82.0
watch2,1775122816274,83.0
watch2,1775122817936,83.0
watch2,1775122818278,84.0
watch2,1775122819976,84.0
watch2,1775122820990,84.0
watch2,1775122821297,86.0
watch2,1775122823017,86.0
watch2,1775122824066,86.0
watch2,1775122825097,86.0
watch2,1775122826150,86.0
watch2,1775122826322,85.0
watch2,1775122827337,84.0
watch2,1775122828354,83.0
watch2,1775122830208,83.0
watch2,1775122831332,83.0
watch2,1775122832358,83.0
watch2,1775122833371,85.0
watch2,1775122834440,85.0
watch2,1775122835395,86.0
watch2,1775122836410,87.0
watch2,1775122837528,87.0
watch2,1775122838541,87.0
watch2,1775122839572,87.0
watch2,1775122840585,87.0
watch2,1775122841435,86.0
watch2,1775122842449,85.0
watch2,1775122843653,85.0
watch2,1775122844668,85.0
watch2,1775122845698,85.0
watch2,1775122846714,85.0
watch2,1775122847476,84.0
watch2,1775122848770,84.0
watch2,1775122849491,83.0
watch2,1775122850838,83.0
watch2,1775122851872,83.0
watch2,1775122852887,83.0
watch2,1775122853919,83.0
watch2,1775122854952,83.0
watch2,1775122855528,84.0
watch2,1775122856986,84.0
watch2,1775122858040,84.0
watch2,1775122858524,83.0
watch2,1775122859533,84.0
watch2,1775122860557,83.0
watch2,1775122862173,83.0
watch2,1775122863190,83.0
watch2,1775122863591,82.0
watch2,1775122865227,82.0
watch2,1775122866260,82.0
watch2,1775122867379,82.0
watch2,1775122867605,83.0
watch2,1775122868612,82.0
watch2,1775122870494,82.0
watch2,1775122870638,81.0
watch2,1775122872575,81.0
watch2,1775122873603,81.0
watch2,1775122874619,81.0
watch2,1775122874652,80.0
watch2,1775122875652,80.0
watch2,1775122876723,80.0
watch2,1775122877738,80.0
watch2,1775122878767,80.0
watch2,1775122879782,80.0
watch2,1775122880830,80.0
watch2,1775122881891,80.0
watch2,1775122882963,80.0
watch2,1775122884023,80.0
watch2,1775122885084,80.0
watch2,1775122886166,80.0
watch2,1775122886680,81.0
watch2,1775122888263,81.0
watch2,1775122889328,81.0
watch2,1775122890392,81.0
watch2,1775122891464,81.0
watch2,1775122892496,81.0
watch2,1775122893573,81.0
watch2,1775122894612,81.0
watch2,1775122895673,81.0
watch2,1775122895738,82.0
watch2,1775122897739,82.0
watch2,1775122898805,83.0
watch2,1775122899830,83.0
watch2,1775122900871,83.0
watch2,1775122901940,83.0
watch2,1775122902793,84.0
watch2,1775122904083,84.0
watch2,1775122905195,84.0
watch2,1775122905788,83.0
watch2,1775122907281,83.0
watch2,1775122908317,83.0
watch2,1775122909333,83.0
watch2,1775122910377,83.0
watch2,1775122910823,82.0
watch2,1775122912441,82.0
watch2,1775122912834,81.0
watch2,1775122914491,81.0
watch2,1775122915532,81.0
watch2,1775122915849,82.0
watch2,1775122917584,82.0
watch2,1775122918627,82.0
watch2,1775122919693,82.0
watch2,1775122920773,82.0
watch2,1775122921811,82.0
watch2,1775122922849,82.0
watch2,1775122923895,83.0
watch2,1775122923900,82.0
watch2,1775122924894,82.0
watch2,1775122925909,83.0
watch2,1775122926922,82.0
watch2,1775122928005,82.0
watch2,1775122928950,81.0
watch2,1775122930091,81.0
watch2,1775122930958,80.0
watch2,1775122931977,79.0
watch2,1775122933190,79.0
watch2,1775122934214,79.0
watch2,1775122934992,78.0
watch2,1775122936257,78.0
watch2,1775122937007,79.0
watch2,1775122938373,79.0
watch2,1775122939430,79.0
watch2,1775122940024,80.0
watch2,1775122941464,80.0
watch2,1775122942486,80.0
watch2,1775122943565,80.0
watch2,1775122944640,80.0
watch2,1775122945046,81.0
watch2,1775122946074,80.0
watch2,1775122947732,80.0
watch2,1775122948774,80.0
watch2,1775122949082,81.0
watch2,1775122950882,81.0
watch2,1775122951094,80.0
watch2,1775122952942,80.0
watch2,1775122953987,80.0
watch2,1775122955057,80.0
watch2,1775122956125,80.0
watch2,1775122957120,79.0
watch2,1775122958202,79.0
watch2,1775122959253,79.0
watch2,1775122960297,79.0
watch2,1775122961343,79.0
watch2,1775122962147,81.0
watch2,1775122963159,82.0
watch2,1775122964173,81.0
watch2,1775122965192,82.0
watch2,1775122966481,82.0
watch2,1775122967208,81.0
watch2,1775122968592,81.0
watch2,1775122969217,80.0
watch2,1775122970633,80.0
watch2,1775122971669,80.0
watch2,1775122972687,80.0
watch2,1775122973748,80.0
watch2,1775122974811,80.0
watch2,1775122975845,80.0
watch2,1775122976250,78.0
watch2,1775122977259,80.0
watch2,1775122978273,81.0
watch2,1775122979266,80.0
watch2,1775122980994,80.0
watch2,1775122982061,80.0
watch2,1775122983144,80.0
watch2,1775122984167,80.0
watch2,1775122985207,80.0
watch2,1775122986242,80.0
watch2,1775122987282,80.0
watch2,1775122987321,79.0
watch2,1775122989344,79.0
watch2,1775122990362,79.0
watch2,1775122991404,79.0
watch2,1775122992336,80.0
watch2,1775122993441,80.0
watch2,1775122994514,80.0
watch2,1775122995362,79.0
watch2,1775122996600,79.0
watch2,1775122997362,78.0
watch2,1775122998377,77.0
watch2,1775122999681,77.0
watch2,1775123000724,77.0
watch2,1775123001768,77.0
watch2,1775123002811,77.0
watch2,1775123003858,77.0
watch2,1775123004401,78.0
watch2,1775123005417,79.0
watch2,1775123006442,80.0
